reference_exercise_id,topic,difficulty,exercise_type,candidate_rank_within_reference,run_id,original_pair_id,original_ai_exercise_id,soft_rank_score,instruction_completeness_ratio,structure_completeness_ratio,code_validity_passed,generated_at,selected_for_curated_pool
OPT-02,Optimization,beginner-intermediate,training-analysis,1,run-20260317-135431,PAIR-OPT-02-01,AI-OPT-02-01,0.8826,1.0,1.0,True,2026-03-17T05:55:06.860709+00:00,True
OPT-02,Optimization,beginner-intermediate,training-analysis,2,run-20260317-143058,PAIR-OPT-02-01,AI-OPT-02-01,0.7411,0.8333,1.0,True,2026-03-17T06:31:27.927898+00:00,False
OPT-03,Optimization,intermediate,model revision,1,run-20260317-135431,PAIR-OPT-03-01,AI-OPT-03-01,0.8123,0.8333,1.0,True,2026-03-17T05:56:05.891749+00:00,True
OPT-03,Optimization,intermediate,model revision,2,run-20260317-143058,PAIR-OPT-03-01,AI-OPT-03-01,0.6748,0.6667,1.0,True,2026-03-17T06:32:22.562322+00:00,False
OPT-03,Optimization,intermediate,model revision,3,run-20260317-150155,PAIR-OPT-03-01,AI-OPT-03-01,0.6731,0.6667,1.0,True,2026-03-17T07:02:24.547007+00:00,False
OPT-04,Optimization,intermediate,model revision,1,run-20260317-135431,PAIR-OPT-04-01,AI-OPT-04-01,0.8569,1.0,1.0,True,2026-03-17T05:58:55.519011+00:00,True
OPT-04,Optimization,intermediate,model revision,2,run-20260317-150155,PAIR-OPT-04-01,AI-OPT-04-01,0.6466,0.6667,1.0,True,2026-03-17T07:03:23.928883+00:00,False
OPT-04,Optimization,intermediate,model revision,3,run-20260317-143058,PAIR-OPT-04-01,AI-OPT-04-01,0.6463,0.6667,1.0,True,2026-03-17T06:35:18.796864+00:00,False
OPT-05,Optimization,intermediate,model revision,1,run-20260317-143058,PAIR-OPT-05-01,AI-OPT-05-01,0.8525,1.0,1.0,True,2026-03-17T06:36:06.318044+00:00,True
OPT-05,Optimization,intermediate,model revision,2,run-20260317-135431,PAIR-OPT-05-01,AI-OPT-05-01,0.8327,1.0,1.0,True,2026-03-17T06:00:17.569679+00:00,False
OPT-05,Optimization,intermediate,model revision,3,run-20260317-150155,PAIR-OPT-05-01,AI-OPT-05-01,0.6481,0.6667,1.0,True,2026-03-17T07:04:20.570995+00:00,False
RNN-01,RNN,intermediate,code completion,1,run-20260317-134150,PAIR-RNN-01-01,AI-RNN-01-01,0.8696,1.0,1.0,True,2026-03-17T05:42:13.180740+00:00,True
RNN-01,RNN,intermediate,code completion,2,run-20260317-140705,PAIR-RNN-01-01,AI-RNN-01-01,0.7254,0.8333,1.0,True,2026-03-17T06:07:27.034486+00:00,False
RNN-02,RNN,intermediate,model building,1,run-20260317-140705,PAIR-RNN-02-01,AI-RNN-02-01,0.879,1.0,1.0,True,2026-03-17T06:08:15.293302+00:00,True
RNN-02,RNN,intermediate,model building,2,run-20260317-134150,PAIR-RNN-02-01,AI-RNN-02-01,0.8202,0.8333,1.0,True,2026-03-17T05:43:00.168032+00:00,False
RNN-03,RNN,intermediate,model building,1,run-20260317-134150,PAIR-RNN-03-01,AI-RNN-03-01,0.8618,1.0,1.0,True,2026-03-17T05:44:43.099753+00:00,True
RNN-03,RNN,intermediate,model building,2,run-20260317-140705,PAIR-RNN-03-01,AI-RNN-03-01,0.8124,0.8333,1.0,True,2026-03-17T06:09:37.641543+00:00,False
TRF-01,Transformer,intermediate-advanced,code completion,1,run-20260317-134820,PAIR-TRF-01-01,AI-TRF-01-01,0.8836,1.0,1.0,True,2026-03-17T05:48:53.839281+00:00,True
TRF-01,Transformer,intermediate-advanced,code completion,2,run-20260317-141345,PAIR-TRF-01-01,AI-TRF-01-01,0.8227,0.8333,1.0,True,2026-03-17T06:14:21.792330+00:00,False
TRF-02,Transformer,intermediate,code completion,1,run-20260317-141345,PAIR-TRF-02-01,AI-TRF-02-01,0.8131,0.8333,1.0,True,2026-03-17T06:15:56.126367+00:00,True
UVA-02,Transformer,intermediate-advanced,code completion,1,run-20260317-141345,PAIR-UVA-02-01,AI-UVA-02-01,0.8669,1.0,1.0,True,2026-03-17T06:16:29.709310+00:00,True
UVA-02,Transformer,intermediate-advanced,code completion,2,run-20260317-134820,PAIR-UVA-02-01,AI-UVA-02-01,0.8645,1.0,1.0,True,2026-03-17T05:51:11.582233+00:00,False
